G1	G5	-
G2	G11	-
G2	G12	-
G2	G3	-
G2	G39	-
G2	G7	-
G2	G1	+
G2	G21	+
G2	G4	+
G2	G8	+
G11	G3	-
G11	G17	+
G12	G4	-
G13	G35	-
G13	G4	+
G14	G3	-
G15	G9	-
G16	G1	+
G16	G3	+
G18	G9	-
G18	G39	+
G18	G10	+
G19	G14	+
G20	G4	-
G3	G1	-
G3	G20	-
G3	G38	-
G3	G40	-
G3	G22	+
G3	G28	+
G3	G9	+
G23	G18	-
G23	G37	-
G23	G3	+
G24	G29	+
G25	G15	+
G25	G9	+
G26	G3	-
G27	G12	-
G27	G4	-
G28	G3	-
G28	G36	-
G29	G40	-
G30	G7	-
G4	G2	+
G4	G26	+
G31	G9	-
G32	G22	+
G32	G24	+
G33	G8	-
G33	G3	+
G34	G1	-
G34	G2	-
G35	G25	-
G36	G3	-
G37	G2	+
G38	G2	+
G5	G24	-
G5	G3	+
G6	G3	-
G6	G2	+
G7	G14	-
G7	G30	-
G7	G15	+
G7	G3	+
G7	G22	+
G7	G29	+
G8	G13	-
G8	G2	+
G8	G24	+
G9	G21	-
G9	G19	+
G9	G3	+
G10	G2	-
G10	G3	-
G10	G17	+
G10	G31	+
