G1	G17	-
G1	G6	-
G1	G27	+
G1	G39	+
G1	G5	+
G1	G43	+
G1	G7	+
G1	G10	+
G2	G3	-
G2	G38	-
G2	G1	+
G2	G16	+
G2	G23	+
G2	G26	+
G2	G4	+
G11	G5	+
G13	G33	-
G13	G1	+
G13	G24	+
G13	G28	+
G13	G34	+
G13	G8	+
G14	G35	-
G14	G2	+
G15	G4	-
G16	G18	+
G19	G3	-
G19	G4	-
G20	G27	-
G20	G29	-
G20	G16	+
G3	G1	-
G3	G21	-
G3	G40	-
G3	G48	-
G3	G12	+
G3	G14	+
G3	G18	+
G3	G25	+
G3	G30	+
G3	G49	+
G3	G8	+
G21	G1	+
G21	G46	+
G22	G4	-
G23	G9	-
G24	G16	-
G26	G24	-
G26	G28	-
G26	G41	-
G29	G4	-
G30	G20	-
G4	G3	-
G4	G48	-
G4	G9	-
G4	G11	+
G4	G15	+
G4	G16	+
G4	G36	+
G4	G37	+
G4	G8	+
G31	G3	-
G31	G21	+
G33	G8	-
G34	G14	-
G34	G42	+
G35	G8	-
G36	G3	+
G37	G8	-
G38	G16	+
G39	G31	+
G40	G5	-
G5	G1	-
G5	G17	+
G5	G22	+
G5	G25	+
G41	G5	-
G42	G21	-
G43	G20	+
G44	G25	-
G44	G1	+
G45	G16	-
G45	G3	-
G46	G3	-
G47	G1	+
G47	G20	+
G49	G33	-
G50	G24	-
G50	G21	+
G6	G1	+
G7	G4	-
G8	G12	+
G8	G20	+
G8	G32	+
G9	G4	-
G9	G32	-
G10	G1	-
