Network,Gene,Absolute distance
RBN4041,0,0.0
RBN4041,1,0.0
RBN4041,2,0.0
RBN4041,3,1.0
RBN4041,4,0.0
RBN4041,5,0.0
RBN4041,6,0.0
RBN4041,7,0.0
RBN4041,8,0.0
RBN4041,9,0.0
RBN4039,0,0.0
RBN4039,1,0.0
RBN4039,2,0.0
RBN4039,3,1.0
RBN4039,4,0.0
RBN4039,5,0.0
RBN4039,6,0.0
RBN4039,7,0.0
RBN4039,8,0.0
RBN4039,9,0.0
RBN4044,0,0.0
RBN4044,1,0.0
RBN4044,2,0.0
RBN4044,3,1.0
RBN4044,4,0.0
RBN4044,5,0.0
RBN4044,6,0.0
RBN4044,7,0.0
RBN4044,8,0.0
RBN4044,9,0.0
RBN4045,0,0.0
RBN4045,1,0.0
RBN4045,2,0.0
RBN4045,3,1.0
RBN4045,4,0.0
RBN4045,5,0.0
RBN4045,6,0.0
RBN4045,7,0.0
RBN4045,8,0.0
RBN4045,9,0.0
RBN4038,0,0.0
RBN4038,1,0.0
RBN4038,2,0.0
RBN4038,3,1.0
RBN4038,4,0.0
RBN4038,5,0.0
RBN4038,6,0.0
RBN4038,7,0.0
RBN4038,8,0.0
RBN4038,9,0.0
RBN4023,0,0.0
RBN4023,1,0.0
RBN4023,2,0.0
RBN4023,3,1.0
RBN4023,4,0.0
RBN4023,5,0.0
RBN4023,6,0.0
RBN4023,7,0.0
RBN4023,8,0.0
RBN4023,9,0.0
RBN4011,0,0.0
RBN4011,1,0.0
RBN4011,2,0.0
RBN4011,3,1.0
RBN4011,4,0.0
RBN4011,5,0.0
RBN4011,6,0.0
RBN4011,7,0.0
RBN4011,8,0.0
RBN4011,9,0.0
RBN4029,0,0.0
RBN4029,1,0.0
RBN4029,2,0.0
RBN4029,3,1.0
RBN4029,4,0.0
RBN4029,5,0.0
RBN4029,6,0.0
RBN4029,7,0.0
RBN4029,8,0.0
RBN4029,9,0.0
RBN4010,0,0.0
RBN4010,1,0.0
RBN4010,2,0.0
RBN4010,3,1.0
RBN4010,4,0.0
RBN4010,5,0.0
RBN4010,6,0.0
RBN4010,7,0.0
RBN4010,8,0.0
RBN4010,9,0.0
