Network,Gene,Absolute distance
RBN3808,0,0.0
RBN3808,1,0.0
RBN3808,2,0.0
RBN3808,3,0.0
RBN3808,4,0.0
RBN3808,5,0.0
RBN3808,6,0.0
RBN3808,7,0.0
RBN3808,8,0.0
RBN3808,9,1.0
RBN3995,0,0.0
RBN3995,1,0.0
RBN3995,2,0.0
RBN3995,3,0.0
RBN3995,4,0.0
RBN3995,5,0.0
RBN3995,6,0.0
RBN3995,7,0.0
RBN3995,8,0.0
RBN3995,9,1.0
RBN3996,0,0.0
RBN3996,1,0.0
RBN3996,2,0.0
RBN3996,3,0.0
RBN3996,4,0.0
RBN3996,5,0.0
RBN3996,6,0.0
RBN3996,7,0.0
RBN3996,8,0.0
RBN3996,9,1.0
RBN3968,0,0.0
RBN3968,1,0.0
RBN3968,2,0.0
RBN3968,3,0.0
RBN3968,4,0.0
RBN3968,5,0.0
RBN3968,6,0.0
RBN3968,7,0.0
RBN3968,8,0.0
RBN3968,9,1.0
